시도명,시군구명,동명,and_nm,비례의원수,지방명,광역의원선거구명,기초의원선거구명,기초의원선출수
전라북도,익산시,송학동,전라북도 익산시 송학동,3,익산시,제1선거구,가선거구,3
전라북도,익산시,중앙동,전라북도 익산시 중앙동,3,익산시,제1선거구,나선거구,3
전라북도,익산시,평화동,전라북도 익산시 평화동,3,익산시,제1선거구,나선거구,3
전라북도,익산시,인화동,전라북도 익산시 인화동,3,익산시,제1선거구,나선거구,3
전라북도,익산시,마동,전라북도 익산시 마동,3,익산시,제1선거구,나선거구,3
전라북도,익산시,오산면,전라북도 익산시 오산면,3,익산시,제2선거구,다선거구,2
전라북도,익산시,남중동,전라북도 익산시 남중동,3,익산시,제2선거구,다선거구,2
전라북도,익산시,신동,전라북도 익산시 신동,3,익산시,제2선거구,다선거구,2
전라북도,익산시,함열읍,전라북도 익산시 함열읍,3,익산시,제2선거구,라선거구,3
전라북도,익산시,황등면,전라북도 익산시 황등면,3,익산시,제2선거구,라선거구,3
전라북도,익산시,함라면,전라북도 익산시 함라면,3,익산시,제2선거구,라선거구,3
전라북도,익산시,웅포면,전라북도 익산시 웅포면,3,익산시,제2선거구,라선거구,3
전라북도,익산시,성당면,전라북도 익산시 성당면,3,익산시,제2선거구,라선거구,3
전라북도,익산시,용안면,전라북도 익산시 용안면,3,익산시,제2선거구,라선거구,3
전라북도,익산시,망성면,전라북도 익산시 망성면,3,익산시,제2선거구,라선거구,3
전라북도,익산시,용동면,전라북도 익산시 용동면,3,익산시,제2선거구,라선거구,3
전라북도,익산시,어양동,전라북도 익산시 어양동,3,익산시,제3선거구,마선거구,2
전라북도,익산시,삼기면,전라북도 익산시 삼기면,3,익산시,제3선거구,바선거구,3
전라북도,익산시,영등2동,전라북도 익산시 영등2동,3,익산시,제3선거구,바선거구,3
전라북도,익산시,삼성동,전라북도 익산시 삼성동,3,익산시,제3선거구,바선거구,3
전라북도,익산시,동산동,전라북도 익산시 동산동,3,익산시,제4선거구,사선거구,3
전라북도,익산시,영등1동,전라북도 익산시 영등1동,3,익산시,제4선거구,사선거구,3
전라북도,익산시,낭산면,전라북도 익산시 낭산면,3,익산시,제4선거구,아선거구,3
전라북도,익산시,여산면,전라북도 익산시 여산면,3,익산시,제4선거구,아선거구,3
전라북도,익산시,금마면,전라북도 익산시 금마면,3,익산시,제4선거구,아선거구,3
전라북도,익산시,왕궁면,전라북도 익산시 왕궁면,3,익산시,제4선거구,아선거구,3
전라북도,익산시,춘포면,전라북도 익산시 춘포면,3,익산시,제4선거구,아선거구,3
전라북도,익산시,팔봉동,전라북도 익산시 팔봉동,3,익산시,제4선거구,아선거구,3
전라북도,정읍시,신태인읍,전라북도 정읍시 신태인읍,2,정읍시,제1선거구,가선거구,3
전라북도,정읍시,북면,전라북도 정읍시 북면,2,정읍시,제1선거구,가선거구,3
전라북도,정읍시,정우면,전라북도 정읍시 정우면,2,정읍시,제1선거구,가선거구,3
전라북도,정읍시,감곡면,전라북도 정읍시 감곡면,2,정읍시,제1선거구,가선거구,3
전라북도,정읍시,고부면,전라북도 정읍시 고부면,2,정읍시,제1선거구,나선거구,2
전라북도,정읍시,영원면,전라북도 정읍시 영원면,2,정읍시,제1선거구,나선거구,2
전라북도,정읍시,덕천면,전라북도 정읍시 덕천면,2,정읍시,제1선거구,나선거구,2
전라북도,정읍시,이평면,전라북도 정읍시 이평면,2,정읍시,제1선거구,나선거구,2
전라북도,정읍시,입암면,전라북도 정읍시 입암면,2,정읍시,제1선거구,다선거구,2
전라북도,정읍시,소성면,전라북도 정읍시 소성면,2,정읍시,제1선거구,다선거구,2
전라북도,정읍시,연지동,전라북도 정읍시 연지동,2,정읍시,제1선거구,다선거구,2
전라북도,정읍시,농소동,전라북도 정읍시 농소동,2,정읍시,제1선거구,다선거구,2
전라북도,정읍시,태인면,전라북도 정읍시 태인면,2,정읍시,제2선거구,라선거구,2
전라북도,정읍시,옹동면,전라북도 정읍시 옹동면,2,정읍시,제2선거구,라선거구,2
전라북도,정읍시,칠보면,전라북도 정읍시 칠보면,2,정읍시,제2선거구,라선거구,2
전라북도,정읍시,산내면,전라북도 정읍시 산내면,2,정읍시,제2선거구,라선거구,2
전라북도,정읍시,산외면,전라북도 정읍시 산외면,2,정읍시,제2선거구,라선거구,2
전라북도,정읍시,내장상동,전라북도 정읍시 내장상동,2,정읍시,제2선거구,마선거구,2
전라북도,정읍시,수성동,전라북도 정읍시 수성동,2,정읍시,제2선거구,바선거구,2
전라북도,정읍시,장명동,전라북도 정읍시 장명동,2,정읍시,제2선거구,바선거구,2
전라북도,정읍시,시기동,전라북도 정읍시 시기동,2,정읍시,제2선거구,사선거구,2
전라북도,정읍시,초산동,전라북도 정읍시 초산동,2,정읍시,제2선거구,사선거구,2
전라북도,정읍시,상교동,전라북도 정읍시 상교동,2,정읍시,제2선거구,사선거구,2
전라북도,남원시,운봉읍,전라북도 남원시 운봉읍,2,남원시,제1선거구,가선거구,2
전라북도,남원시,아영면,전라북도 남원시 아영면,2,남원시,제1선거구,가선거구,2
전라북도,남원시,산내면,전라북도 남원시 산내면,2,남원시,제1선거구,가선거구,2
전라북도,남원시,인월면,전라북도 남원시 인월면,2,남원시,제1선거구,가선거구,2
전라북도,남원시,주천면,전라북도 남원시 주천면,2,남원시,제1선거구,나선거구,2
전라북도,남원시,산동면,전라북도 남원시 산동면,2,남원시,제1선거구,나선거구,2
전라북도,남원시,이백면,전라북도 남원시 이백면,2,남원시,제1선거구,나선거구,2
전라북도,남원시,향교동,전라북도 남원시 향교동,2,남원시,제1선거구,다선거구,3
전라북도,남원시,도통동,전라북도 남원시 도통동,2,남원시,제1선거구,다선거구,3
전라북도,남원시,수지면,전라북도 남원시 수지면,2,남원시,제2선거구,라선거구,2
전라북도,남원시,송동면,전라북도 남원시 송동면,2,남원시,제2선거구,라선거구,2
전라북도,남원시,금지면,전라북도 남원시 금지면,2,남원시,제2선거구,라선거구,2
전라북도,남원시,대강면,전라북도 남원시 대강면,2,남원시,제2선거구,라선거구,2
전라북도,남원시,주생면,전라북도 남원시 주생면,2,남원시,제2선거구,마선거구,2
전라북도,남원시,대산면,전라북도 남원시 대산면,2,남원시,제2선거구,마선거구,2
전라북도,남원시,사매면,전라북도 남원시 사매면,2,남원시,제2선거구,마선거구,2
전라북도,남원시,덕과면,전라북도 남원시 덕과면,2,남원시,제2선거구,마선거구,2
전라북도,남원시,보절면,전라북도 남원시 보절면,2,남원시,제2선거구,마선거구,2
전라북도,남원시,동충동,전라북도 남원시 동충동,2,남원시,제2선거구,바선거구,3
전라북도,남원시,죽항동,전라북도 남원시 죽항동,2,남원시,제2선거구,바선거구,3
전라북도,남원시,노암동,전라북도 남원시 노암동,2,남원시,제2선거구,바선거구,3
전라북도,남원시,금동,전라북도 남원시 금동,2,남원시,제2선거구,바선거구,3
전라북도,남원시,왕정동,전라북도 남원시 왕정동,2,남원시,제2선거구,바선거구,3
전라북도,김제시,만경읍,전라북도 김제시 만경읍,2,김제시,제1선거구,가선거구,2
전라북도,김제시,백산면,전라북도 김제시 백산면,2,김제시,제1선거구,가선거구,2
전라북도,김제시,공덕면,전라북도 김제시 공덕면,2,김제시,제1선거구,가선거구,2
전라북도,김제시,청하면,전라북도 김제시 청하면,2,김제시,제1선거구,가선거구,2
전라북도,김제시,죽산면,전라북도 김제시 죽산면,2,김제시,제1선거구,나선거구,2
전라북도,김제시,부량면,전라북도 김제시 부량면,2,김제시,제1선거구,나선거구,2
전라북도,김제시,성덕면,전라북도 김제시 성덕면,2,김제시,제1선거구,나선거구,2
전라북도,김제시,진봉면,전라북도 김제시 진봉면,2,김제시,제1선거구,나선거구,2
전라북도,김제시,광활면,전라북도 김제시 광활면,2,김제시,제1선거구,나선거구,2
전라북도,김제시,요촌동,전라북도 김제시 요촌동,2,김제시,제1선거구,다선거구,2
전라북도,김제시,교월동,전라북도 김제시 교월동,2,김제시,제1선거구,다선거구,2
전라북도,김제시,봉남면,전라북도 김제시 봉남면,2,김제시,제2선거구,라선거구,3
전라북도,김제시,황산면,전라북도 김제시 황산면,2,김제시,제2선거구,라선거구,3
전라북도,김제시,금산면,전라북도 김제시 금산면,2,김제시,제2선거구,라선거구,3
전라북도,김제시,신풍동,전라북도 김제시 신풍동,2,김제시,제2선거구,라선거구,3
전라북도,김제시,용지면,전라북도 김제시 용지면,2,김제시,제2선거구,마선거구,3
전라북도,김제시,백구면,전라북도 김제시 백구면,2,김제시,제2선거구,마선거구,3
전라북도,김제시,금구면,전라북도 김제시 금구면,2,김제시,제2선거구,마선거구,3
전라북도,김제시,검산동,전라북도 김제시 검산동,2,김제시,제2선거구,마선거구,3
전라북도,완주군,삼례읍,전라북도 완주군 삼례읍,2,완주군,제1선거구,가선거구,2
전라북도,완주군,이서면,전라북도 완주군 이서면,2,완주군,제1선거구,가선거구,2
전라북도,완주군,상관면,전라북도 완주군 상관면,2,완주군,제1선거구,나선거구,2
전라북도,완주군,소양면,전라북도 완주군 소양면,2,완주군,제1선거구,나선거구,2
전라북도,완주군,구이면,전라북도 완주군 구이면,2,완주군,제1선거구,나선거구,2
전라북도,완주군,봉동읍,전라북도 완주군 봉동읍,2,완주군,제2선거구,다선거구,3
